entry,at,order
"The player ""ldl @ Fyu1zC3WxZ"" stand up with the stack of 361.",2025-10-31T17:06:13.325Z,176193037332500
"-- ending hand #149 --",2025-10-31T17:06:07.402Z,176193036740202
"""jx @ 8YBiAEphlS"" collected 2 from pot",2025-10-31T17:06:07.402Z,176193036740201
"Uncalled bet of 1 returned to ""jx @ 8YBiAEphlS""",2025-10-31T17:06:07.402Z,176193036740200
"""ldl @ Fyu1zC3WxZ"" folds",2025-10-31T17:06:06.586Z,176193036658600
"""jx @ 8YBiAEphlS"" posts a big blind of 2",2025-10-31T17:06:02.210Z,176193036221008
"""ldl @ Fyu1zC3WxZ"" posts a small blind of 1",2025-10-31T17:06:02.210Z,176193036221007
"Player stacks: #3 ""ldl @ Fyu1zC3WxZ"" (362) | #7 ""jx @ 8YBiAEphlS"" (251)",2025-10-31T17:06:02.210Z,176193036221004
"-- starting hand #149 (id: 9ohxpmd3mlhs)  (No Limit Texas Hold'em) (dealer: ""ldl @ Fyu1zC3WxZ"") --",2025-10-31T17:06:02.210Z,176193036221003
"The player ""vzzz @ NHZFCu6_3E"" stand up with the stack of 529.",2025-10-31T17:06:02.210Z,176193036221002
"The player ""xx @ 67byzK7ng-"" stand up with the stack of 497.",2025-10-31T17:06:02.210Z,176193036221001
"The player ""lyx @ e6zr8eCYWY"" stand up with the stack of 436.",2025-10-31T17:06:02.210Z,176193036221000
"-- ending hand #148 --",2025-10-31T17:05:56.176Z,176193035617602
"""jx @ 8YBiAEphlS"" collected 25 from pot",2025-10-31T17:05:56.176Z,176193035617601
"Uncalled bet of 12 returned to ""jx @ 8YBiAEphlS""",2025-10-31T17:05:56.176Z,176193035617600
"""ldl @ Fyu1zC3WxZ"" folds",2025-10-31T17:05:55.363Z,176193035536300
"""jx @ 8YBiAEphlS"" bets 12",2025-10-31T17:05:50.231Z,176193035023100
"""ldl @ Fyu1zC3WxZ"" checks",2025-10-31T17:05:46.279Z,176193034627900
"Flop:  [6♥, Q♦, A♠]",2025-10-31T17:05:43.939Z,176193034393900
"""ldl @ Fyu1zC3WxZ"" calls 11",2025-10-31T17:05:43.091Z,176193034309100
"""xx @ 67byzK7ng-"" folds",2025-10-31T17:05:41.891Z,176193034189100
"""lyx @ e6zr8eCYWY"" folds",2025-10-31T17:05:37.803Z,176193033780300
"""jx @ 8YBiAEphlS"" raises to 11",2025-10-31T17:05:36.482Z,176193033648200
"""vzzz @ NHZFCu6_3E"" folds",2025-10-31T17:05:32.735Z,176193033273500
"""ldl @ Fyu1zC3WxZ"" calls 2",2025-10-31T17:05:31.828Z,176193033182800
"""xx @ 67byzK7ng-"" posts a big blind of 2",2025-10-31T17:05:23.918Z,176193032391811
"""lyx @ e6zr8eCYWY"" posts a small blind of 1",2025-10-31T17:05:23.918Z,176193032391810
"Player stacks: #1 ""lyx @ e6zr8eCYWY"" (437) | #2 ""xx @ 67byzK7ng-"" (499) | #3 ""ldl @ Fyu1zC3WxZ"" (373) | #5 ""vzzz @ NHZFCu6_3E"" (529) | #7 ""jx @ 8YBiAEphlS"" (237)",2025-10-31T17:05:23.918Z,176193032391804
"-- starting hand #148 (id: 1tkxecxj3hph)  (No Limit Texas Hold'em) (dead button) --",2025-10-31T17:05:23.918Z,176193032391803
"The player ""黄笃读3 @ -mSMv4AfBw"" quits the game with a stack of 205.",2025-10-31T17:05:23.918Z,176193032391802
"The player ""黄笃读3 @ -mSMv4AfBw"" stand up with the stack of 205.",2025-10-31T17:05:23.918Z,176193032391801
"The player ""nicky @ ZrJaml_e4F"" stand up with the stack of 84.",2025-10-31T17:05:23.918Z,176193032391800
