entry,at,order
"The player ""yx @ Ap79JvHOiZ"" passed the room ownership to ""gf @ CF96PlUCpo"".",2025-10-22T18:07:52.116Z,176115647211600
"The player ""yx @ Ap79JvHOiZ"" quits the game with a stack of 793.",2025-10-22T18:02:04.295Z,176115612429502
"The player ""ldl @ Fyu1zC3WxZ"" stand up with the stack of 716.",2025-10-22T18:02:04.295Z,176115612429501
"The player ""gf @ CF96PlUCpo"" stand up with the stack of 1146.",2025-10-22T18:02:04.295Z,176115612429500
"-- ending hand #186 --",2025-10-22T18:01:58.366Z,176115611836602
"""yx @ Ap79JvHOiZ"" collected 0 from pot",2025-10-22T18:01:58.366Z,176115611836601
"Uncalled bet of 2 returned to ""yx @ Ap79JvHOiZ""",2025-10-22T18:01:58.366Z,176115611836600
"""ldl @ Fyu1zC3WxZ"" folds",2025-10-22T18:01:57.536Z,176115611753600
"""gf @ CF96PlUCpo"" folds",2025-10-22T18:01:56.329Z,176115611632900
"""yx @ Ap79JvHOiZ"" posts a big blind of 2",2025-10-22T18:01:53.362Z,176115611336209
"Dead Small Blind",2025-10-22T18:01:53.362Z,176115611336208
"Player stacks: #1 ""gf @ CF96PlUCpo"" (1146) | #2 ""ldl @ Fyu1zC3WxZ"" (716) | #9 ""yx @ Ap79JvHOiZ"" (793)",2025-10-22T18:01:53.362Z,176115611336204
"-- starting hand #186 (id: uyzkqc8uox0d)  (No Limit Texas Hold'em) (dealer: ""ldl @ Fyu1zC3WxZ"") --",2025-10-22T18:01:53.362Z,176115611336203
"The player ""黄笃读2 @ sdnzYfvBuE"" stand up with the stack of 476.",2025-10-22T18:01:53.362Z,176115611336202
"The player ""xx @ 67byzK7ng-"" stand up with the stack of 251.",2025-10-22T18:01:53.362Z,176115611336201
"The player ""摩托车 @ 1Dc32wQ1Fs"" stand up with the stack of 536.",2025-10-22T18:01:53.362Z,176115611336200
"""yx @ Ap79JvHOiZ"" shows a 4♣, 2♠.",2025-10-22T18:01:49.488Z,176115610948800
"""gf @ CF96PlUCpo"" shows a 6♦, 9♥.",2025-10-22T18:01:48.761Z,176115610876100
"-- ending hand #185 --",2025-10-22T18:01:46.302Z,176115610630202
"""ldl @ Fyu1zC3WxZ"" collected 264 from pot with Two Pair, Q's & 9's (combination: Q♥, Q♣, 9♣, 9♠, 5♦)",2025-10-22T18:01:46.302Z,176115610630201
"""ldl @ Fyu1zC3WxZ"" shows a 5♦, Q♥.",2025-10-22T18:01:46.302Z,176115610630200
"""yx @ Ap79JvHOiZ"" checks",2025-10-22T18:01:45.455Z,176115610545500
"""ldl @ Fyu1zC3WxZ"" checks",2025-10-22T18:01:31.885Z,176115609188500
"River: 4♦, 2♥, Q♣, 9♣ [9♠]",2025-10-22T18:01:30.134Z,176115609013400
"""ldl @ Fyu1zC3WxZ"" calls 66",2025-10-22T18:01:29.298Z,176115608929800
"""yx @ Ap79JvHOiZ"" bets 66",2025-10-22T18:01:27.087Z,176115608708700
"""ldl @ Fyu1zC3WxZ"" checks",2025-10-22T18:01:14.751Z,176115607475100
"Turn: 4♦, 2♥, Q♣ [9♣]",2025-10-22T18:01:12.924Z,176115607292400
"""摩托车 @ 1Dc32wQ1Fs"" folds",2025-10-22T18:01:12.088Z,176115607208800
"""xx @ 67byzK7ng-"" folds",2025-10-22T18:01:10.261Z,176115607026100
"""黄笃读2 @ sdnzYfvBuE"" folds",2025-10-22T18:01:08.992Z,176115606899200
"""ldl @ Fyu1zC3WxZ"" calls 33",2025-10-22T18:01:07.775Z,176115606777500
"""gf @ CF96PlUCpo"" folds",2025-10-22T18:01:05.708Z,176115606570800
"""yx @ Ap79JvHOiZ"" bets 33",2025-10-22T18:01:04.371Z,176115606437100
"""摩托车 @ 1Dc32wQ1Fs"" checks",2025-10-22T18:01:00.509Z,176115606050900
"""xx @ 67byzK7ng-"" checks",2025-10-22T18:00:58.021Z,176115605802100
"""黄笃读2 @ sdnzYfvBuE"" checks",2025-10-22T18:00:55.894Z,176115605589400
"""ldl @ Fyu1zC3WxZ"" checks",2025-10-22T18:00:54.236Z,176115605423600
"Flop:  [4♦, 2♥, Q♣]",2025-10-22T18:00:50.980Z,176115605098000
"""摩托车 @ 1Dc32wQ1Fs"" calls 11",2025-10-22T18:00:50.143Z,176115605014300
"""xx @ 67byzK7ng-"" calls 11",2025-10-22T18:00:48.333Z,176115604833300
"""黄笃读2 @ sdnzYfvBuE"" calls 11",2025-10-22T18:00:46.202Z,176115604620200
"""ldl @ Fyu1zC3WxZ"" calls 11",2025-10-22T18:00:45.074Z,176115604507400
"""gf @ CF96PlUCpo"" calls 11",2025-10-22T18:00:40.912Z,176115604091200
"""yx @ Ap79JvHOiZ"" raises to 11",2025-10-22T18:00:38.907Z,176115603890700
"""摩托车 @ 1Dc32wQ1Fs"" calls 2",2025-10-22T18:00:35.342Z,176115603534200
"""xx @ 67byzK7ng-"" calls 2",2025-10-22T18:00:32.880Z,176115603288000
"""黄笃读2 @ sdnzYfvBuE"" posts a big blind of 2",2025-10-22T18:00:30.565Z,176115603056509
"""ldl @ Fyu1zC3WxZ"" posts a small blind of 1",2025-10-22T18:00:30.565Z,176115603056508
"Player stacks: #1 ""gf @ CF96PlUCpo"" (1157) | #2 ""ldl @ Fyu1zC3WxZ"" (562) | #3 ""黄笃读2 @ sdnzYfvBuE"" (487) | #4 ""xx @ 67byzK7ng-"" (262) | #7 ""摩托车 @ 1Dc32wQ1Fs"" (547) | #9 ""yx @ Ap79JvHOiZ"" (903)",2025-10-22T18:00:30.565Z,176115603056501
"-- starting hand #185 (id: ttmtjfkbzngk)  (No Limit Texas Hold'em) (dealer: ""gf @ CF96PlUCpo"") --",2025-10-22T18:00:30.565Z,176115603056500
"""gf @ CF96PlUCpo"" shows a 5♦, 4♥.",2025-10-22T18:00:28.154Z,176115602815400
"-- ending hand #184 --",2025-10-22T18:00:26.961Z,176115602696102
"""gf @ CF96PlUCpo"" collected 48 from pot",2025-10-22T18:00:26.961Z,176115602696101
"Uncalled bet of 48 returned to ""gf @ CF96PlUCpo""",2025-10-22T18:00:26.961Z,176115602696100
"""xx @ 67byzK7ng-"" folds",2025-10-22T18:00:26.147Z,176115602614700
"""gf @ CF96PlUCpo"" bets 48",2025-10-22T18:00:22.115Z,176115602211500
"River: K♣, 7♠, 6♠, 3♥ [2♣]",2025-10-22T18:00:14.275Z,176115601427500
"""xx @ 67byzK7ng-"" calls 12",2025-10-22T18:00:13.468Z,176115601346800
"""gf @ CF96PlUCpo"" bets 12",2025-10-22T18:00:11.364Z,176115601136400
"Turn: K♣, 7♠, 6♠ [3♥]",2025-10-22T18:00:05.562Z,176115600556200
"""黄笃读2 @ sdnzYfvBuE"" folds",2025-10-22T18:00:04.739Z,176115600473900
"""ldl @ Fyu1zC3WxZ"" folds",2025-10-22T18:00:03.398Z,176115600339800
"""gf @ CF96PlUCpo"" calls 6",2025-10-22T18:00:01.765Z,176115600176500
"""yx @ Ap79JvHOiZ"" folds",2025-10-22T17:59:59.236Z,176115599923600
"""摩托车 @ 1Dc32wQ1Fs"" folds",2025-10-22T17:59:58.028Z,176115599802800
"""xx @ 67byzK7ng-"" bets 6",2025-10-22T17:59:56.760Z,176115599676000
"""黄笃读2 @ sdnzYfvBuE"" checks",2025-10-22T17:59:51.371Z,176115599137100
"""ldl @ Fyu1zC3WxZ"" checks",2025-10-22T17:59:50.079Z,176115599007900
"""gf @ CF96PlUCpo"" checks",2025-10-22T17:59:48.787Z,176115598878700
"Flop:  [K♣, 7♠, 6♠]",2025-10-22T17:59:45.822Z,176115598582200
"""ldl @ Fyu1zC3WxZ"" checks",2025-10-22T17:59:44.999Z,176115598499900
"""gf @ CF96PlUCpo"" calls 2",2025-10-22T17:59:43.562Z,176115598356200
"""yx @ Ap79JvHOiZ"" calls 2",2025-10-22T17:59:41.755Z,176115598175500
"""摩托车 @ 1Dc32wQ1Fs"" calls 2",2025-10-22T17:59:38.558Z,176115597855800
"""xx @ 67byzK7ng-"" calls 2",2025-10-22T17:59:36.978Z,176115597697800
"""黄笃读2 @ sdnzYfvBuE"" calls 2",2025-10-22T17:59:35.665Z,176115597566500
"""ldl @ Fyu1zC3WxZ"" posts a big blind of 2",2025-10-22T17:59:32.925Z,176115597292509
"""gf @ CF96PlUCpo"" posts a small blind of 1",2025-10-22T17:59:32.925Z,176115597292508
