player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"jx",y1rG7j-rqe,2025-10-24T17:11:29.925Z,,289,,254,-35
"gf",qnnr-Sk3BF,2025-10-24T16:42:15.747Z,2025-10-24T17:09:11.879Z,400,0,0,-400
"ldl",Fyu1zC3WxZ,2025-10-24T16:31:48.829Z,,300,,378,78
"黄笃读",PxC4kVFJOB,2025-10-24T16:23:28.972Z,,600,,500,-100
"vzzz",EOiOubJPxe,2025-10-24T16:09:30.973Z,,400,,865,465
"jx",y1rG7j-rqe,2025-10-24T16:09:30.965Z,2025-10-24T17:09:11.873Z,288,0,0,-288
"功夫来了",ybHF2hpuhv,2025-10-24T16:09:30.977Z,2025-10-24T16:42:15.741Z,500,500,0,0
"黄笃读",PxC4kVFJOB,2025-10-24T16:09:30.969Z,2025-10-24T16:22:15.175Z,200,0,0,-200
"yx",e6zr8eCYWY,2025-10-24T16:09:30.959Z,,400,,880,480
