player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"黄笃读2",PxC4kVFJOB,2025-10-25T16:51:12.666Z,,959,,1084,125
"yx",e6zr8eCYWY,2025-10-25T14:45:04.757Z,,600,,967,367
"nicky",1ELfoKBJ4s,2025-10-25T14:26:37.007Z,,200,,155,-45
"yx",e6zr8eCYWY,2025-10-25T14:16:02.077Z,2025-10-25T14:43:59.937Z,400,0,0,-400
"xx",kp-4YAuUN-,2025-10-25T13:59:04.136Z,,200,,596,396
"黄笃读",0TnQIPuKbv,2025-10-25T13:56:52.554Z,,200,,959,759
"nicky",1ELfoKBJ4s,2025-10-25T13:55:32.965Z,2025-10-25T14:25:33.945Z,200,0,0,-200
"xx",kp-4YAuUN-,2025-10-25T13:52:44.348Z,2025-10-25T13:57:56.823Z,200,0,0,-200
"yx",e6zr8eCYWY,2025-10-25T13:46:21.428Z,2025-10-25T14:14:49.674Z,400,0,0,-400
"黄笃读",0TnQIPuKbv,2025-10-25T13:46:21.431Z,2025-10-25T13:55:32.960Z,200,0,0,-200
"vzzz",EOiOubJPxe,2025-10-25T13:46:21.430Z,2025-10-25T17:07:57.299Z,400,0,0,-400
"ldl",oHVA7MXVUy,2025-10-25T13:46:21.426Z,,300,,498,198
