entry,at,order
"The player ""gf @ ipOdBkGCQL"" quits the game with a stack of 2206.",2025-10-21T18:35:41.552Z,176107174155200
"The player ""ldl2 @ Fyu1zC3WxZ"" stand up with the stack of 654.",2025-10-21T18:35:39.956Z,176107173995603
"The player ""摩托车 @ 1Dc32wQ1Fs"" stand up with the stack of 641.",2025-10-21T18:35:39.956Z,176107173995602
"The player ""黄笃读2 @ R1tfDLyqqY"" stand up with the stack of 286.",2025-10-21T18:35:39.956Z,176107173995601
"The player ""xx @ 67byzK7ng-"" stand up with the stack of 1462.",2025-10-21T18:35:39.956Z,176107173995600
"""黄笃读2 @ R1tfDLyqqY"" shows a 3♣, 3♠.",2025-10-21T18:35:37.686Z,176107173768600
"""gf @ ipOdBkGCQL"" shows a A♦, 10♦.",2025-10-21T18:35:36.734Z,176107173673400
"-- ending hand #173 --",2025-10-21T18:35:35.554Z,176107173555402
"""gf @ ipOdBkGCQL"" collected 70 from pot",2025-10-21T18:35:35.554Z,176107173555401
"Uncalled bet of 52 returned to ""gf @ ipOdBkGCQL""",2025-10-21T18:35:35.554Z,176107173555400
"""黄笃读2 @ R1tfDLyqqY"" folds",2025-10-21T18:35:34.670Z,176107173467000
"""gf @ ipOdBkGCQL"" bets 52",2025-10-21T18:35:32.743Z,176107173274300
"""黄笃读2 @ R1tfDLyqqY"" checks",2025-10-21T18:35:25.366Z,176107172536600
"River: K♦, A♣, 9♥, 9♦ [9♣]",2025-10-21T18:35:23.341Z,176107172334100
"""黄笃读2 @ R1tfDLyqqY"" calls 21",2025-10-21T18:35:22.510Z,176107172251000
"""gf @ ipOdBkGCQL"" bets 21",2025-10-21T18:35:20.645Z,176107172064500
"""黄笃读2 @ R1tfDLyqqY"" checks",2025-10-21T18:35:17.434Z,176107171743400
"Turn: K♦, A♣, 9♥ [9♦]",2025-10-21T18:35:15.332Z,176107171533200
"""黄笃读2 @ R1tfDLyqqY"" calls 10",2025-10-21T18:35:14.506Z,176107171450600
"""gf @ ipOdBkGCQL"" bets 10",2025-10-21T18:35:11.221Z,176107171122100
"""黄笃读2 @ R1tfDLyqqY"" checks",2025-10-21T18:35:00.090Z,176107170009000
"Flop:  [K♦, A♣, 9♥]",2025-10-21T18:34:58.101Z,176107169810100
"""黄笃读2 @ R1tfDLyqqY"" calls 4",2025-10-21T18:34:57.263Z,176107169726300
"""gf @ ipOdBkGCQL"" raises to 4",2025-10-21T18:34:55.766Z,176107169576600
"""黄笃读2 @ R1tfDLyqqY"" calls 2",2025-10-21T18:34:52.323Z,176107169232300
"""ldl2 @ Fyu1zC3WxZ"" folds",2025-10-21T18:34:51.149Z,176107169114900
"""xx @ 67byzK7ng-"" folds",2025-10-21T18:34:43.839Z,176107168383900
"""摩托车 @ 1Dc32wQ1Fs"" folds",2025-10-21T18:34:42.637Z,176107168263700
"""gf @ ipOdBkGCQL"" posts a big blind of 2",2025-10-21T18:34:39.192Z,176107167919210
